x,Actual value,LU Decomposition values
0,5,5.12378
0.125,4.05482,4.01686
0.25,1.57661,1.58442
0.375,-1.49767,-1.4988
0.5,-4.00572,-4.0015
0.625,-4.99931,-4.99505
0.75,-4.1028,-4.09911
0.875,-1.65512,-1.65366
1,1.41831,1.41705
1.125,3.95552,3.952
1.25,4.99725,4.99281
1.375,4.14965,4.14596
1.5,1.73318,1.73164
1.625,-1.33856,-1.33738
1.75,-3.90423,-3.90076
1.875,-4.99381,-4.98937
2,-4.19536,-4.19164
2.125,-1.81075,-1.80912
2.25,1.25845,1.25725
2.375,3.85186,3.84874
2.5,4.98899,4.98346
2.625,4.23991,4.24024
2.75,1.88783,1.87087
2.875,-1.17799,-1.11988
3,-3.79844,-4.00803
